Loudness,alphaRatio,hammarbergIndex,slope0-500,slope500-1500,spectralFlux,mfcc_coeff1,mfcc_coeff2,mfcc_coeff3,mfcc_coeff4,F0_semitone_From27.5Hz,jitter_local,shimmer_local_dB,HNRdBACF,logRelF0-H1-H2,logRelF0-H1-A3,F1_frequency,F1_bandwidth,F1_amplitudeLogRelF0,F2_frequency,F2_bandwidth,F2_amplitudeLogRelF0,F3_frequency,F3_bandwidth,F3_amplitudeLogRelF0
0.033579953,-1.7630992,1.7492837,-0.64662623,-1.5232785,0.9281554,1.7621464,1.3074979,-0.38369754,-0.24108474,-0.59101653,-0.30069187,-0.46622884,-0.46588054,-0.4025871,-0.5093378,1.5637075,1.6430076,-2.8456516,2.1515045,1.2496451,-2.8454561,2.4351838,1.2341895,-2.8421688
-0.014761869,-1.4518392,1.3982993,0.10057621,-1.868239,0.3002089,1.5653672,1.0124837,-0.69092095,-1.0314665,-0.58574045,-0.30081877,-0.46931496,-0.46639046,-0.4035408,-0.50885755,1.4472698,1.6634737,-2.841482,2.056382,1.260232,-2.8453953,2.3338406,1.049341,-2.843709
-0.18217859,-1.3469568,1.2945355,0.28419787,-1.4988161,-0.0024391152,1.1706457,1.1185663,-0.36752704,-1.0452017,-0.58827865,-0.3011285,-0.4687959,-0.4668707,-0.40273905,-0.5073389,1.2958927,1.6889398,-2.8362815,1.9859203,1.3541529,-2.8409956,2.2249932,1.0296254,-2.8374524
-0.31078464,-1.3654559,1.2929499,0.36909464,-0.88758266,-0.23620668,0.96791995,1.4685794,0.15602645,-0.6695076,-0.5892737,-0.2974935,-0.47035003,-0.46825525,-0.40749475,-0.5055138,1.4102868,1.7879342,-2.847498,1.9827565,1.3496623,-2.8459353,2.1699228,0.9690173,-2.84445
-0.38339028,-1.11236,1.1984388,0.28458002,-0.12173566,-0.32632846,0.62345785,1.515845,0.730103,-0.26868558,-0.58870035,-0.2979157,-0.46842253,-0.47258654,-0.406127,-0.5057285,1.4317883,1.9071041,-2.8443072,2.0082161,1.3815205,-2.844758,2.178432,1.0566752,-2.8440294
-0.2919074,-0.50003535,0.721744,0.5391439,0.2148603,-0.4103955,0.17029417,1.0949333,1.0497061,-0.47478798,-0.588101,-0.29784894,-0.4690517,-0.47100446,-0.40752885,-0.50679934,1.6492622,1.7869897,-2.8434315,2.0245962,1.2909225,-2.84652,2.151482,1.1428313,-2.845848
-0.033038,0.40821368,-0.03961393,0.345853,0.34148237,-0.32011762,-0.28829312,0.1776729,1.1539633,-0.8592584,-0.58713704,-0.29797715,-0.4664494,-0.47029242,-0.40521917,-0.50853014,1.6929094,1.6954466,-2.8425238,1.9607569,1.283278,-2.8459826,2.085027,1.323022,-2.8432534
0.24954638,0.9923766,-0.6081927,0.3718516,0.40449405,-0.22887087,-0.5702145,-0.49517372,1.1676904,-1.1536509,-0.5884437,-0.29776865,-0.46721527,-0.4703602,-0.40257263,-0.50932074,1.6031759,1.5967572,-2.8426054,1.8891671,1.2488543,-2.8470864,2.028083,1.4236342,-2.8411555
0.42725766,1.0101154,-0.7122745,0.48727337,0.313269,-0.15514435,-0.5782907,-0.40782544,1.2442027,-1.3467157,-0.58770907,-0.2982075,-0.46873376,-0.46858475,-0.40120247,-0.5085256,1.7468151,1.4651124,-2.8462832,1.950254,1.1524367,-2.8480167,2.0645974,1.4953961,-2.8440747
0.38261184,0.9916654,-0.7070096,0.44459668,0.33035824,-0.14241175,-0.6308068,-0.0143848285,1.3625643,-1.3656967,-0.58647835,-0.29926768,-0.46820801,-0.47029832,-0.40266642,-0.5085439,1.5478562,1.5617723,-2.8432953,1.8961718,1.0234852,-2.8445368,2.0249815,1.4007423,-2.8430762
0.31055084,0.94799,-0.6572837,0.08624944,0.3045821,-0.14968733,-0.7415522,0.3019205,1.6339111,-1.0260289,-0.5900496,-0.30017722,-0.46904835,-0.4636157,-0.40654925,-0.50848114,1.5877268,1.565785,-1.9410732,1.8820666,0.92233163,-1.9700907,2.0232897,1.3473393,-1.9636613
0.2218239,0.34970218,-0.126237,-0.2415937,0.18301158,0.1365769,-0.55338997,0.900898,2.241259,-0.37724778,1.976845,-0.29051432,-0.41733083,1.4044386,1.7232648,1.1726742,1.6051137,1.3072748,-1.0240647,1.9190923,0.65630925,-1.1976503,2.106636,1.2438293,-1.0934117
0.2012406,-0.56961626,0.6361124,-0.58785397,-0.17274901,0.43829057,-0.028420959,1.4884945,2.5362504,0.0137734935,1.9564856,-0.30003402,-0.4611581,1.7670777,2.1002316,1.7734681,1.5167793,1.5675137,-0.024270937,1.9493493,0.7206921,-0.3114072,2.123055,1.0744901,-0.2492437
0.12986127,-1.8455565,1.7178649,-0.64302087,-0.66381377,0.6105798,0.8720581,2.256465,2.1925836,0.32452562,1.9537141,-0.27295896,3.1006172,2.151359,2.6253455,2.4924674,1.7813728,1.7509328,-0.043881267,2.133531,1.0419697,-0.34299266,2.2337308,0.95816725,-0.3937576
0.15628651,-2.5251195,2.340001,-0.99813867,-1.1267552,0.6817957,1.5678049,2.5007002,1.3086479,0.30567712,1.9767706,1.0427336,2.7135444,2.3771725,3.1640475,3.0391433,1.6030434,1.6705855,0.06404192,2.207293,1.391042,-0.38146383,2.3382642,1.3643041,-0.49374542
0.27059647,-2.730071,2.76115,-1.0365206,-1.358844,0.7358845,2.0383599,2.499142,0.35092303,0.37097067,1.9938805,1.1546218,1.8939549,2.4407163,3.4185438,3.3589604,1.7425362,1.7840234,0.090251274,2.1277223,1.5807903,-0.36640987,2.3538365,1.3849865,-0.52820694
0.4308001,-2.7170951,2.8506992,-1.1301123,-1.3621988,0.70711416,2.2214758,2.538345,-0.17229769,0.541511,1.9768993,0.49035066,1.3515295,2.4620793,3.3761585,3.4289007,1.6371522,1.7036155,0.10944245,2.0730832,1.5066737,-0.3598574,2.3631914,1.3527651,-0.550862
0.50062835,-2.6916196,2.8624308,-0.8969124,-1.319192,0.2841059,2.2721546,2.60263,-0.4086085,0.58082205,1.9615564,0.04354104,0.7897856,2.4595606,3.1840975,3.4276266,1.5280508,1.8446683,0.09196193,1.9998237,1.6725351,-0.35623482,2.36255,1.5828205,-0.5469088
0.4972614,-2.6633437,2.8844128,-0.45319274,-1.401519,0.0563254,2.3150342,2.6663682,-0.44597796,0.47797146,1.9369777,-0.094832286,0.066746384,2.3698673,2.946404,3.4372835,1.7527514,1.6947818,0.059693627,2.3892725,1.7619087,-0.42952073,2.534935,1.8303666,-0.55963594
0.4313807,-2.7857144,2.993409,-0.3098353,-1.4551425,0.0055605695,2.3328068,2.839346,-0.3756064,0.51839185,1.9119893,-0.060924623,-0.15761742,2.2441008,2.6539607,3.3724563,1.8945395,1.8782252,0.03119941,2.4184413,2.035023,-0.4327962,2.5929754,2.0324929,-0.56256706
0.3836589,-2.8507166,2.9105463,-0.3544264,-1.373559,0.06316851,2.2367263,2.7933366,-0.18013385,0.6332853,1.8703313,-0.0070107244,-0.16576764,2.129621,2.2802696,3.2459567,1.9729757,1.858672,-0.032079544,2.4124353,1.846659,-0.44624266,2.581122,1.8512906,-0.56624573
0.28787363,-2.9368773,2.8235917,-0.9333322,-1.3325633,0.21178615,2.1079748,2.6980994,0.17535964,0.7025466,1.8251913,0.086549036,-0.060249522,2.0519075,1.8708779,3.1139705,1.936801,1.8356154,-0.080825746,2.3287745,1.5899218,-0.45321912,2.5266283,1.5172546,-0.5631035
0.17501879,-2.9723873,2.7421691,-1.1295031,-1.1622128,0.3323331,2.025246,2.5667896,0.49171433,0.84592444,1.7799919,0.29409045,0.19776249,1.9890752,1.4300187,2.9879391,2.000593,1.7399566,-0.12629521,2.355475,1.4812508,-0.46292555,2.53544,1.4434401,-0.5558549
0.058888704,-3.0051754,2.7438202,-1.3016434,-1.0578717,0.29749435,2.0400844,2.4592302,0.7696862,0.8680142,1.73543,0.5574883,0.5719108,1.9526125,1.0904832,2.8426957,1.9505625,2.095949,-0.16358143,2.289458,1.768874,-0.46493024,2.4939048,1.6858101,-0.5470507
-0.02288783,-2.9956298,2.7835572,-1.3137698,-1.1397638,0.1970617,2.1414366,2.3714693,0.8606571,0.80317926,1.7161287,0.70834583,0.83807075,1.9838247,0.8729442,2.702298,2.101216,2.0934958,-0.17796373,2.3313417,1.8955958,-0.49879396,2.4865408,1.8030138,-0.5464186
-0.07270178,-3.0265121,2.8823066,-1.4483829,-1.5120747,0.030639526,2.266776,2.358218,0.7414652,0.57721615,1.7132956,0.62969744,0.84951764,1.98016,0.86994815,2.5144148,2.0261471,2.075993,-0.19320899,2.3003461,1.8861488,-0.51131666,2.472306,1.7787129,-0.55446315
-0.13947724,-3.1150146,2.9814007,-1.7583705,-1.5040834,-0.06310943,2.2152586,2.352472,0.795256,0.6692766,1.7268436,0.48469386,0.6758586,1.9882505,0.998824,2.2832403,2.0219467,1.8632724,-0.23034734,2.266824,1.7246772,-0.4971853,2.428651,1.4752789,-0.5181872
-0.21110965,-3.2068248,3.0308316,-1.9274236,-1.0944248,-0.14601928,2.031673,2.4049282,1.0022984,0.95137274,1.739169,0.25772166,0.6826579,1.9037647,1.1841502,2.0199492,1.9841204,1.8027315,-0.26125365,2.2595303,1.595052,-0.46269232,2.384574,1.3807852,-0.49012163
-0.28253484,-3.214648,3.03126,-2.1041949,-0.30971134,-0.10573487,1.7835345,2.4454892,1.3371661,1.401693,1.7267892,0.25031245,0.8187404,1.9590538,1.2571942,1.6618038,2.0221019,1.5966916,-1.1173075,2.2532945,1.4797037,-1.1895622,2.342506,1.341977,-1.2095127
-0.34730178,-3.0740025,2.9062233,-2.20041,0.27921146,-0.13554919,1.5739001,2.3606255,1.4414773,1.6885984,-0.57591164,-0.29280853,-0.45275232,-0.47131237,-0.40062734,-0.50494516,2.4068778,1.5990359,-1.9627126,2.3674936,1.6579543,-2.0077991,2.4183948,1.5120331,-2.0138657
-0.38019797,-2.7436876,2.649084,-2.2785876,0.5642446,-0.19100994,1.3550524,2.1500776,1.3371675,1.7110597,-0.57670414,-0.32421723,-0.4573748,-0.47076103,-0.40433952,-0.50868505,2.486683,1.6264335,-2.8622265,2.4328735,1.6572381,-2.8545449,2.4647453,1.5254718,-2.8450713
-0.38288316,-2.0391665,2.0725455,-2.0732825,0.8821254,-0.23217866,0.8879039,1.720589,1.2332454,1.4506545,-0.5795414,-0.30034408,-0.4620919,-0.47751,-0.3970814,-0.511678,2.2329097,1.6305596,-1.861095,2.3283327,1.6123607,-1.8834033,2.373354,1.4913313,-1.8799399
0.07832034,-0.8735129,1.1526276,-1.6660477,1.2692748,0.077111505,0.26635337,0.89451027,1.3779868,0.9621292,2.3075304,-0.3069306,-0.34182617,1.1577607,3.2213254,0.6088466,2.2244074,1.4894485,-0.96780694,2.24351,1.4450887,-0.99707884,2.3511488,1.2357185,-0.9063045
